Source,Station,StationID,Region
EMP,NZ002,EMP NZ002,Western Delta
EMP,NZ003,EMP NZ003,Western Delta
EMP,NZ004,EMP NZ004,Western Delta
EMP,NZ005,EMP NZ005,Suisun Bay
EMP,NZ020,EMP NZ020,Suisun Bay
EMP,NZ022,EMP NZ022,Suisun Bay
EMP,NZ024,EMP NZ024,Suisun Bay
EMP,NZ028,EMP NZ028,Suisun Marsh
EMP,NZ030,EMP NZ030,Suisun Marsh
EMP,NZ032,EMP NZ032,Suisun Marsh
EMP,NZ033,EMP NZ033,Suisun Marsh
EMP,NZ034,EMP NZ034,Suisun Marsh
EMP,NZ036,EMP NZ036,Suisun Bay
EMP,NZ038,EMP NZ038,Suisun Bay
EMP,NZ040,EMP NZ040,Suisun Bay
EMP,NZ042,EMP NZ042,Suisun Bay
EMP,NZ044,EMP NZ044,Suisun Bay
EMP,NZ046,EMP NZ046,Suisun Bay
EMP,NZ048,EMP NZ048,Suisun Bay
EMP,NZ050,EMP NZ050,Suisun Bay
EMP,NZ052,EMP NZ052,Suisun Bay
EMP,NZ054,EMP NZ054,Suisun Bay
EMP,NZ056,EMP NZ056,Suisun Bay
EMP,NZ058,EMP NZ058,Suisun Bay
EMP,NZ060,EMP NZ060,Lower Sacramento River
EMP,NZ062,EMP NZ062,Lower Sacramento River
EMP,NZ064,EMP NZ064,Lower Sacramento River
EMP,NZ066,EMP NZ066,Lower Sacramento River
EMP,NZ068,EMP NZ068,Lower Sacramento River
EMP,NZ069,EMP NZ069,NA
EMP,NZ070,EMP NZ070,Lower Sacramento River
EMP,NZ071,EMP NZ071,Sac Deep Water Shipping Channel
EMP,NZ072,EMP NZ072,Suisun Bay
EMP,NZ074,EMP NZ074,Lower Joaquin River
EMP,NZ076,EMP NZ076,Lower Joaquin River
EMP,NZ078,EMP NZ078,Lower Joaquin River
EMP,NZ080,EMP NZ080,Lower Joaquin River
EMP,NZ082,EMP NZ082,Lower Joaquin River
EMP,NZ084,EMP NZ084,Lower Joaquin River
EMP,NZ086,EMP NZ086,Lower Joaquin River
EMP,NZ088,EMP NZ088,Lower Joaquin River
EMP,NZ090,EMP NZ090,NA
EMP,NZ092,EMP NZ092,NA
EMP,NZ098,EMP NZ098,Southern Delta
EMP,NZ099,EMP NZ099,Cache Slough/Liberty Island
EMP,NZ100,EMP NZ100,NA
EMP,NZ101,EMP NZ101,Sac Deep Water Shipping Channel
EMP,NZ103,EMP NZ103,NA
EMP,NZ104,EMP NZ104,Southern Delta
EMP,NZ155,EMP NZ155,Sac Deep Water Shipping Channel
EMP,NZ161,EMP NZ161,Sac Deep Water Shipping Channel
EMP,NZ165,EMP NZ165,Sac Deep Water Shipping Channel
EMP,NZ169,EMP NZ169,Sac Deep Water Shipping Channel
EMP,NZ295,EMP NZ295,NA
EMP,NZ300,EMP NZ300,NA
EMP,NZ305,EMP NZ305,NA
EMP,NZ310,EMP NZ310,NA
EMP,NZ325,EMP NZ325,Western Delta
EMP,NZ338,EMP NZ338,Western Delta
EMP,NZ340,EMP NZ340,Western Delta
EMP,NZ41A,EMP NZ41A,NA
EMP,NZC03,EMP NZC03,NA
EMP,NZC09,EMP NZC09,Southern Delta
EMP,NZC13,EMP NZC13,NA
EMP,NZD06,EMP NZD06,Suisun Bay
EMP,NZD11,EMP NZD11,Lower Sacramento River
EMP,NZD14,EMP NZD14,Lower Joaquin River
EMP,NZD15,EMP NZD15,Lower Joaquin River
EMP,NZD16,EMP NZD16,Lower Joaquin River
EMP,NZD19,EMP NZD19,Southern Delta
